word1,word2,n,unique_ids,unique_authors
average,natural,2,1,1
average,wave,2,1,1
avsoilmoisture,block,2,1,1
baseflow,month,2,2,2
bd,cm,2,2,1
bed,elevation,2,1,1
benthic,sediment,2,2,1
billion,mass,2,1,1
billion,nanograms,2,1,1
biomass,burning,2,2,1
biomass,wet,2,1,1
black,carbon,2,1,1
block,site,2,1,1
bn,rc,2,1,1
bromine,concentration,2,1,1
bromine,mole,2,1,1
ca_um,mg_um,2,2,1
carbon,latitude,2,2,2
cb,pf,2,1,1
ce,adjusted,2,1,1
ch4,flux,2,1,1
ch4_flux,ch4_flux_f,2,2,1
ch4_flux_gf,ch4_flux_gf_qc,2,2,1
ch4_flux_gf_qc,rssi,2,2,1
ch4_um,doc_um,2,2,1
chlorine,mole,2,1,1
chloroform,fumigated,2,1,1
classification,1979,2,1,1
classification,2015,2,1,1
classification,unique,2,1,1
cloud,droplets,2,2,1
cloud,liquid,2,2,1
cloud,optical,2,2,1
cm,dbh,2,2,1
cm,depth,2,2,1
co2,13co2,2,1,1
co2,alkalinity,2,1,1
co2,efflux,2,2,1
co2_dry,h2o_dry,2,2,1
co2_um,ch4_um,2,2,1
column,latitude,2,2,2
concentration,calcium,2,1,1
concentration,chlorine,2,1,1
concentration,collection,2,2,1
concentration,magnesium,2,1,1
concentration,oxygen,2,1,1
concentration,ph,2,2,2
concentration,phosphate,2,1,1
concentration,silicate,2,1,1
concentration,sodium,2,1,1
concentration,sulfur,2,1,1
cond_us,ph,2,2,1
conduct,salinity,2,1,1
conductivity,density,2,1,1
content,top,2,1,1
control,flag,2,1,1
coordinates,lower,2,1,1
core,black,2,1,1
core,corrected,2,1,1
corrected,intensity,2,1,1
correction,pht,2,1,1
correction,total,2,1,1
ct,pb,2,1,1
cumulative,discharge,2,2,2
current,heading,2,1,1
current,speed,2,1,1
date,icethickness,2,2,2
date,river,2,2,2
date,time_hr_dst,2,2,1
date,tree,2,2,1
day,plot,2,1,1
day,site,2,2,1
day,super,2,1,1
days,ammonium,2,2,1
dbh,cm,2,2,1
dd14cplfa,co2,2,1,1
decimal,day,2,1,1
decimal,format,2,1,1
degrees,cell,2,2,1
degrees,minutes,2,1,1
delta,deuterium,2,1,1
density,anomaly,2,1,1
depth,co2,2,2,1
depth,density,2,1,1
depth,ice,2,2,2
depth,increment,2,1,1
depth,incubated,2,1,1
depth,land,2,1,1
depth,length,2,1,1
depth,retrieved,2,2,1
depth,sami,2,1,1
depth,soil,2,2,2
depth,time,2,1,1
depth,water,2,1,1
depth_m,distance_km,2,2,1
details,doi,2,2,1
deuterium,hydrogen,2,1,1
