"","identifier","word1","word2","word3"
"407","doi:10.18739/A2028PD8D","soilrespirationdata","22nov2013","csv"
"408","doi:10.18739/A20531",NA,NA,NA
"409","doi:10.18739/A2057CR99","2007k","temperature","data.csv"
"410","doi:10.18739/A2057CR99","temperature","data.csv","2007k"
"411","doi:10.18739/A2057CR99","data.csv","2007k","mass"
"412","doi:10.18739/A2057CR99","2007k","mass","balance"
"413","doi:10.18739/A2057CR99","mass","balance","data.csv"
"414","doi:10.18739/A2057CR99","balance","data.csv","2007k"
"415","doi:10.18739/A2057CR99","data.csv","2007k","meteorological"
"416","doi:10.18739/A2057CR99","2007k","meteorological","data.csv"
"417","doi:10.18739/A2057CR99","meteorological","data.csv","2007k"
"418","doi:10.18739/A2057CR99","data.csv","2007k","position"
"419","doi:10.18739/A2057CR99","2007k","position","data.csv"
"420","doi:10.18739/A2057CS2C","i","7","hypsography.csv"
"421","doi:10.18739/A2057CS2C","7","hypsography.csv","i"
"422","doi:10.18739/A2057CS2C","hypsography.csv","i","7"
"423","doi:10.18739/A2057CS2C","i","7","sonar"
"424","doi:10.18739/A2057CS2C","7","sonar","final"
"425","doi:10.18739/A2057CS2C","sonar","final","adc.csv"
"426","doi:10.18739/A2057CS2C","final","adc.csv","i"
"427","doi:10.18739/A2057CS2C","adc.csv","i","7"
"428","doi:10.18739/A2057CS2C","i","7","bathy"
"429","doi:10.18739/A2057CS2C","7","bathy","interp.zip"
"430","doi:10.18739/A2057CS2C","bathy","interp.zip","i"
"431","doi:10.18739/A2057CS2C","interp.zip","i","7"
"432","doi:10.18739/A2057CS2C","i","7","area.zip"
"433","doi:10.18739/A2057CS2C","7","area.zip","i"
"434","doi:10.18739/A2057CS2C","area.zip","i","7"
"435","doi:10.18739/A2057CS2C","i","7","bathy"
"436","doi:10.18739/A2057CS2C","7","bathy","points.zip"
"437","doi:10.18739/A2057CS2C","bathy","points.zip","i"
"438","doi:10.18739/A2057CS2C","points.zip","i","7"
"439","doi:10.18739/A2057CS2C","i","7","contours.zip"
"440","doi:10.18739/A2057CS2C","7","contours.zip","i"
"441","doi:10.18739/A2057CS2C","contours.zip","i","7"
"442","doi:10.18739/A2057CS2C","i","7","deep"
"443","doi:10.18739/A2057CS2C","7","deep","spots.zip"
"444","doi:10.18739/A2057CS2C","deep","spots.zip","i"
"445","doi:10.18739/A2057CS2C","spots.zip","i","7"
"446","doi:10.18739/A2057CS2C","i","7","perimeter.zip"
"447","doi:10.18739/A2057CS4B","amf","ca","gro"
"448","doi:10.18739/A2057CS4B","ca","gro","base"
"449","doi:10.18739/A2057CS4B","gro","base","hh"
"450","doi:10.18739/A2057CS4B","base","hh","1"
"451","doi:10.18739/A2057CS4B","hh","1","1"
"452","doi:10.18739/A2057CS4B","1","1","csv"
"453","doi:10.18739/A2057CS9R","smtmplpolx1","a1.20130101.000000","cdf"
"454","doi:10.18739/A2058X","consolidated","datalogger","output"
"455","doi:10.18739/A2086356K","snowdata","calon","aliss"
"456","doi:10.18739/A2086356K","calon","aliss","northslope"
"457","doi:10.18739/A2086356K","aliss","northslope","2012"
"458","doi:10.18739/A2086356K","northslope","2012","2018"
"459","doi:10.18739/A2086356K","2012","2018","csv"
"460","doi:10.18739/A20863604","2015","2016","winter"
"461","doi:10.18739/A20863604","2016","winter","n2"
"462","doi:10.18739/A20863604","winter","n2","dissoxy.csv"
"463","doi:10.18739/A20863604","n2","dissoxy.csv","2015"
"464","doi:10.18739/A20863604","dissoxy.csv","2015","2016"
"465","doi:10.18739/A20863604","2015","2016","winter"
"466","doi:10.18739/A20863604","2016","winter","n2"
"467","doi:10.18739/A20863604","winter","n2","spconductance.csv"
"468","doi:10.18739/A20863604","n2","spconductance.csv","2015"
"469","doi:10.18739/A20863604","spconductance.csv","2015","2016"
"470","doi:10.18739/A20863604","2015","2016","winter"
"471","doi:10.18739/A20863604","2016","winter","n2"
"472","doi:10.18739/A20863604","winter","n2","temperature.csv"
"473","doi:10.18739/A20863623",NA,NA,NA
"474","doi:10.18739/A20C0Z",NA,NA,NA
"475","doi:10.18739/A20C1B",NA,NA,NA
"476","doi:10.18739/A20C4SJ9H","s3","hypsography.csv","s3"
"477","doi:10.18739/A20C4SJ9H","hypsography.csv","s3","sonar"
"478","doi:10.18739/A20C4SJ9H","s3","sonar","final"
